Zip,Total,white_1,black_1,white_2,black_2
8600000US29162,3046,2004,830,7,9
8600000US29169,24170,14519,4596,3084,130
8600000US29202,274,183,9,12,0
8600000US29148,6910,3288,3521,49,0
8600000US29320,1017,415,0,602,0
8600000US29453,1136,601,406,0,0
8600000US29581,5189,3475,1296,239,87
8600000US29657,15869,13998,1081,279,0
8600000US29569,17587,11100,5666,292,7
8600000US29607,40940,24709,11441,1508,60
8600000US29741,2239,1727,396,5,0
8600000US29902,15826,10351,3328,893,15
8600000US29944,3985,1980,1922,18,0
8600000US29945,5232,974,4166,16,17
8600000US29712,2199,1693,397,71,0
8600000US29520,13892,6505,6934,96,51
8600000US29642,32358,28722,1746,752,0
8600000US29667,263,235,25,0,0
8600000US29689,3934,3818,82,0,0
8600000US29080,2859,583,2132,49,0
8600000US29146,1694,606,1047,15,0
8600000US29045,25814,15906,6527,956,85
8600000US29118,17232,4949,10440,222,9
8600000US29372,4164,3027,821,188,0
8600000US29492,13202,10943,1343,585,0
8600000US29020,21408,12604,7402,452,0
8600000US29044,5852,1737,3948,71,36
8600000US29036,21766,19825,766,739,0
8600000US29037,614,401,166,21,0
8600000US29039,3715,1760,1825,79,0
8600000US29040,10616,5169,4046,258,0
8600000US29042,5076,802,4198,19,0
8600000US29208,760,446,197,24,0
8600000US29126,2035,1505,521,0,9
8600000US29117,1056,57,917,2,0
8600000US29147,0,0,0,0,0
8600000US29225,1308,1038,148,6,0
8600000US29324,336,336,0,0,0
8600000US29329,247,247,0,0,0
8600000US29331,194,194,0,0,0
8600000US29333,581,408,62,76,0
8600000US29346,293,282,0,0,0
8600000US29368,96,96,0,0,0
8600000US29378,175,17,25,120,0
8600000US29409,2666,2099,238,106,9
8600000US29410,22836,15136,3758,1253,28
8600000US29424,390,264,72,11,6
8600000US29588,45385,35997,3523,1757,136
8600000US29613,1917,1499,175,46,12
8600000US29614,2128,1642,143,75,6
8600000US29634,5129,4251,497,44,14
8600000US29707,28866,24142,1467,1227,88
8600000US29733,1852,1244,460,65,7
8600000US29899,1120,319,731,0,0
8600000US29904,712,366,86,151,4
8600000US29905,3083,1994,270,454,27
8600000US29907,14801,10709,2392,873,76
8600000US29909,18829,17375,324,353,14
8600000US29912,0,0,0,0,0
8600000US29915,445,408,0,7,0
8600000US29817,4420,1483,2792,6,0
8600000US29321,3194,2492,535,30,0
8600000US29014,1763,1009,696,0,0
8600000US29038,2169,1442,394,256,0
8600000US29053,17852,12378,3665,907,0
8600000US29055,4037,2661,1240,17,0
8600000US29072,60081,50694,3513,1799,108
8600000US29074,112,112,0,0,0
8600000US29114,1763,880,792,10,0
8600000US29123,8525,6931,678,648,12
8600000US29178,3211,2437,740,0,0
8600000US29223,50870,14264,28232,1606,443
8600000US29306,16085,5717,9516,310,45
8600000US29322,8281,7611,180,171,0
8600000US29376,7842,6070,1292,207,0
8600000US29403,21888,11201,9664,324,31
8600000US29406,33984,11090,15059,4879,145
8600000US29414,39520,29591,6582,1370,0
8600000US29471,1455,844,563,45,0
8600000US29527,25916,16526,7335,660,130
8600000US29530,2325,2002,174,95,0
8600000US29850,200,200,0,0,0
8600000US29856,2688,2099,369,119,0
8600000US29906,25149,11973,9828,1586,182
8600000US29916,1537,1006,484,0,0
8600000US29928,16366,14855,471,714,0
8600000US29929,1002,581,388,0,0
8600000US29160,7833,5862,1566,129,20
8600000US29070,15914,13364,1327,493,7
8600000US29113,1211,567,634,0,0
8600000US29133,919,286,630,0,0
8600000US29335,5939,4407,1071,47,0
8600000US29164,5190,3140,1819,18,0
8600000US29205,24756,17180,5480,799,30
8600000US29301,35704,15809,12984,4063,222
8600000US29360,20651,12299,6424,514,76
8600000US29431,6947,6027,655,14,0
8600000US29451,4430,4002,0,174,11
8600000US29493,164,77,87,0,0
8600000US29505,24850,14055,8893,678,108
8600000US29543,582,247,191,0,0
8600000US29563,2192,1560,612,0,0
8600000US29564,765,77,667,0,0
8600000US29624,16094,8459,6556,379,30
8600000US29627,19301,15659,2622,261,46
8600000US29650,34886,25529,2591,2867,109
8600000US29653,4682,3048,1306,20,145
8600000US29655,6915,5866,904,20,0
8600000US29684,3915,3398,289,6,0
8600000US29702,9978,8067,1076,223,5
8600000US29590,3288,458,2322,210,44
8600000US29560,13292,4752,7685,260,57
8600000US29567,534,190,216,8,0
8600000US29574,11446,4996,5891,32,19
8600000US29582,16548,14178,1160,569,0
8600000US29625,28813,21935,4724,1239,98
8600000US29635,1225,1158,25,5,0
8600000US29683,205,205,0,0,0
8600000US29686,935,874,15,0,1
8600000US29697,13430,11219,1212,50,0
8600000US29001,2029,979,935,90,2
8600000US29481,1603,626,889,0,0
8600000US29512,18182,6266,10542,438,39
8600000US29550,31952,20548,9888,644,9
8600000US29579,40272,33149,3538,1110,100
8600000US29584,2365,2222,125,1,17
8600000US29591,5350,3617,1542,25,4
8600000US29532,20775,9655,10337,297,11
8600000US29540,5383,2013,3156,109,0
8600000US29545,1444,1028,346,55,0
8600000US29546,2965,1076,1566,182,34
8600000US29554,8582,3841,4694,6,8
8600000US29555,5824,3967,1750,58,0
8600000US29556,12089,2597,9060,21,30
8600000US29566,17603,13898,1950,890,53
8600000US29572,9395,8230,680,309,0
8600000US29576,31037,28288,1509,346,0
8600000US29583,4985,2994,1874,52,0
8600000US29596,2170,1488,506,83,0
8600000US29605,37130,17623,14866,1586,46
8600000US29609,29191,20267,4934,1767,11
8600000US29611,30274,14384,9217,3122,48
8600000US29628,2505,1334,961,23,0
8600000US29645,9643,7212,1774,185,36
8600000US29659,89,52,37,0,0
8600000US29665,140,72,0,0,0
8600000US29672,12153,10823,744,283,0
8600000US29685,1704,1596,79,0,0
8600000US29691,11113,8351,530,1033,8
8600000US29704,3693,3255,200,50,0
8600000US29849,518,297,221,0,0
8600000US29743,861,838,0,2,0
8600000US29829,11879,7887,2945,727,46
8600000US29847,5506,2569,2559,76,6
8600000US29851,7328,6013,944,150,11
8600000US29910,41018,28494,2487,5426,88
8600000US29923,377,45,312,0,0
8600000US29941,587,254,333,0,0
8600000US29935,3928,2394,855,359,0
8600000US29936,13666,6117,6558,686,0
8600000US29075,3028,1972,639,294,0
8600000US29081,1317,766,453,37,0
8600000US29111,1663,893,689,39,0
8600000US29122,40,24,16,0,0
8600000US29142,5187,1574,3383,3,8
8600000US29152,1827,1244,261,96,0
8600000US29161,11261,5428,5168,385,7
8600000US29166,849,623,207,12,0
8600000US29170,21555,16417,2876,822,39
8600000US29206,19182,14106,3079,927,52
8600000US29229,50866,15444,28062,1036,223
8600000US29323,12489,10470,1272,145,19
8600000US29330,8987,7673,516,312,0
8600000US29341,20482,13601,5410,491,0
8600000US29351,1329,1212,95,0,0
8600000US29355,928,814,101,0,0
8600000US29356,8459,7551,475,303,0
8600000US29379,17485,10616,5987,108,143
8600000US29670,9297,6628,1874,237,0
8600000US29680,32031,22801,5996,1479,165
8600000US29681,57959,44302,6891,2314,71
8600000US29709,7081,5094,1823,0,3
8600000US29724,39,39,0,0,0
8600000US29730,55937,28659,21468,1732,73
8600000US29745,30697,24615,4842,438,0
8600000US29812,11357,5876,4924,41,31
8600000US29831,4332,2790,1109,167,0
8600000US29842,7462,3641,3082,443,0
8600000US29843,1195,1021,163,6,0
8600000US29212,29586,19925,6386,592,53
8600000US29303,25089,12926,7671,2376,56
8600000US29365,11211,9428,1164,255,9
8600000US29388,15721,11945,2685,106,0
8600000US29401,9627,7871,1144,326,45
8600000US29405,29677,7847,19659,935,104
8600000US29412,40275,31804,6180,753,14
8600000US29423,1035,661,191,45,13
8600000US29426,1888,774,1101,13,0
8600000US29003,6510,2385,3877,8,0
8600000US29030,1928,879,1021,4,0
8600000US29051,2007,565,1338,89,12
8600000US29054,9260,8453,198,134,0
8600000US29063,39090,26062,10199,677,41
8600000US29018,2971,942,1927,0,0
8600000US29033,12541,8576,2821,105,26
8600000US29052,2111,4,2106,0,0
8600000US29069,4393,2626,1626,0,0
8600000US29079,10,0,10,0,0
8600000US29108,20890,9655,8647,889,0
8600000US29138,11196,4706,3400,1367,37
8600000US29112,3841,2135,1494,57,0
8600000US29127,8339,6574,1637,52,5
8600000US29130,5755,3003,2364,37,0
8600000US29150,39616,17022,19653,1127,34
8600000US29204,18709,7289,10528,74,30
8600000US29006,10720,7429,2475,295,0
8600000US29010,12469,4120,7841,60,257
8600000US29031,1136,204,887,0,0
8600000US29048,4825,1915,2629,16,13
8600000US29062,131,63,68,0,0
8600000US29065,509,139,370,0,0
8600000US29067,11093,8384,2325,28,0
8600000US29073,46555,36430,5663,1541,30
8600000US29107,2737,1806,884,0,0
8600000US29536,16012,6374,8369,251,0
8600000US29544,5301,5020,173,11,0
8600000US29565,7836,3779,3893,33,0
8600000US29575,18727,16086,627,372,0
8600000US29585,15022,12331,1573,193,0
8600000US29630,14972,11390,1505,949,4
8600000US29638,3225,2321,707,22,0
8600000US29646,28182,13569,11345,2097,261
8600000US29651,47493,36765,4365,2765,72
8600000US29654,9306,7815,1011,148,0
8600000US29662,15696,9346,4220,741,14
8600000US29669,12058,10070,1017,753,0
8600000US29828,689,542,147,0,0
8600000US29801,28308,13517,12635,543,231
8600000US29816,971,537,114,299,0
8600000US29826,119,18,100,0,0
8600000US29469,880,814,45,0,0
8600000US29479,6758,2356,4199,59,0
8600000US29483,81942,57182,16893,1891,69
8600000US29487,2999,1081,1723,184,0
8600000US29506,20823,6018,14070,211,89
8600000US29511,4986,4417,306,18,0
8600000US29516,1038,407,392,89,0
8600000US29519,228,110,118,0,0
8600000US29526,46369,34885,7702,1717,29
8600000US30339,23373,12128,5244,1064,27
8600000US30401,13598,7033,5606,450,0
8600000US30452,1372,1001,277,16,0
8600000US30455,465,363,87,0,0
8600000US30457,5885,3924,1833,94,7
8600000US30467,12070,6499,5191,131,0
8600000US30504,26966,9337,1549,12796,113
8600000US30510,9042,6709,630,1019,2
8600000US30354,16398,2065,11542,1233,38
8600000US30421,3322,2721,444,3,0
8600000US30434,5386,1612,3438,166,21
8600000US30436,12092,8360,2414,220,42
8600000US30441,1701,1208,451,13,0
8600000US30448,76,22,50,0,0
8600000US30456,1936,824,1040,0,0
8600000US30461,14366,10261,3115,331,51
8600000US30471,5085,3121,1516,127,4
8600000US30512,21080,19791,130,628,0
8600000US30522,897,897,0,0,0
8600000US30552,1805,1513,5,120,0
8600000US30530,6330,5510,275,131,0
8600000US30535,7431,6433,47,345,7
8600000US30548,18630,15327,1133,913,25
8600000US30017,24416,12546,7531,961,109
8600000US30025,9308,6892,1848,121,0
8600000US30038,39104,1614,36532,211,203
8600000US30052,65959,39010,18115,3635,191
8600000US30055,3306,3016,91,10,0
8600000US30071,25218,5289,4619,5331,375
8600000US30019,49262,28735,11204,3926,27
8600000US30005,40056,22444,3962,1545,235
8600000US30008,31982,7495,12849,4191,214
8600000US30022,68807,39161,9376,4639,164
8600000US30024,77334,42628,6978,4582,486
8600000US30041,66531,48905,1583,4379,168
8600000US30066,55548,38664,7184,3233,375
8600000US30082,29011,12551,9224,1639,516
8600000US30083,58323,6543,45066,1294,382
8600000US30094,34928,12389,18664,808,328
8600000US30113,6649,6172,166,40,0
8600000US30125,23814,15231,2898,2092,9
8600000US30145,7142,6308,615,106,9
8600000US30148,861,748,0,0,0
8600000US30152,43310,27851,7998,3168,37
8600000US30204,12940,7605,4627,84,0
8600000US30215,36441,22852,9036,1058,22
8600000US30217,9144,7562,1051,171,0
8600000US30218,1628,1258,313,13,0
8600000US30223,36986,19464,14241,2039,0
8600000US30233,23245,17049,4814,390,41
8600000US30248,25161,16469,6337,1290,0
8600000US30253,55176,18864,27823,1570,642
8600000US30256,2589,2472,55,10,0
8600000US30268,10434,4950,4194,522,124
8600000US30273,14663,1775,9838,559,0
8600000US30274,35347,2509,27376,1081,482
8600000US30288,9230,630,6850,778,0
8600000US30296,28671,1427,23875,1104,131
8600000US30303,6719,1774,3906,302,95
8600000US30501,29629,11205,4350,11551,107
8600000US30513,11753,11191,57,71,0
8600000US30519,46415,28167,8147,3266,97
8600000US30545,698,656,6,0,0
8600000US30549,24892,20593,1975,1083,6
8600000US30571,3545,3276,42,102,0
8600000US30602,2824,1576,452,80,14
8600000US30828,4205,1519,2604,0,0
8600000US30016,54242,20061,29159,1366,452
8600000US30101,58041,39936,10698,3204,287
8600000US30582,5038,4695,113,69,0
8600000US30665,67,21,46,0,0
8600000US30734,3779,3624,1,0,0
8600000US30328,37111,23762,4497,2938,65
8600000US30345,25562,11697,5653,5398,0
8600000US30411,4766,2364,2312,65,25
8600000US30516,2012,1733,197,8,0
8600000US30525,7305,6486,93,239,97
8600000US30541,1580,1334,0,235,0
8600000US30683,6601,4534,1133,433,4
8600000US30547,3209,3008,131,17,0
8600000US30555,2273,2220,0,16,0
8600000US30746,940,940,0,0,0
8600000US30725,4646,4200,109,49,0
8600000US30728,20609,18255,1182,143,0
8600000US30747,15438,12558,2297,123,18
8600000US30752,8463,7958,36,142,31
8600000US30906,58114,15664,38128,858,931
8600000US30002,5920,3152,2119,107,53
8600000US30011,15428,10964,1866,991,102
8600000US30033,32968,20243,4219,2032,211
8600000US30040,70510,52968,3174,6580,103
8600000US30043,90675,38599,21632,11346,647
8600000US30079,2824,720,1560,27,0
8600000US30104,4960,4577,161,13,0
8600000US30106,21742,6295,12299,1414,269
8600000US30121,23373,16848,3694,1680,15
